Entry	Entry Name	Protein families
B1NWR6	NA228_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
B1NWS4	NA225_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
B2G331	VKT2B_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HJD9	K6TX1_ACTBE	Sea anemone type 6 potassium channel toxin family
C0HM68	5BPIA_HETMG	Sea anemone type 3 (BDS) potassium channel toxin family
P01531	NA1B_ANTXA	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P01535	STX3_ANESU	Sea anemone short toxin (type III) family
P0CH90	NA237_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P0DL49	NA12_ANEVI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P29186	K1B_BUNGR	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P29187	K1A_STIHL	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
P30832	NA23_RADCR	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P61542	BDS2_ANTEL	Sea anemone type 3 (BDS) potassium channel toxin family
P86780	PA2_BUNCI	Phospholipase A2 family
A0A1X9QHL1	CRAS1_URTCR	Sea anemone type 3 (BDS) potassium channel toxin family
A0A6S7JAW4	A0A6S7JAW4_PARCT	Short-chain dehydrogenases/reductases (SDR) family
A0A7D9I8S7	A0A7D9I8S7_PARCT	Short-chain dehydrogenases/reductases (SDR) family
A0A913YFL0	A0A913YFL0_EXADI	Short-chain dehydrogenases/reductases (SDR) family
A7SCE5	NA241_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
A7SMJ4	A7SMJ4_NEMVE	DNA2/NAM7 helicase family
A7T5F3	A7T5F3_NEMVE	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily
B1B5I8	VKT3_STIHA	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
B1B5I9	NA24_STIHA	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
B1NWR7	NA245_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
B1NWS1	NA227_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
B1NWS8	NA240_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
B3RFR8	HYDMA_HYDVU	Macin family
C0HJC2	K1B1_BUNCI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
C0HJC3	K1B2_BUNCI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
C0HJC4	KV53_BUNCI	Sea anemone type 5 potassium channel toxin family
C0HJF3	VKT2D_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HJF4	VKT2C_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HJU6	VKT2F_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HJU7	VKT2G_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HK26	TX121_URTEQ	Cnidaria small cysteine-rich protein (SCRiP) family
C0HLS4	5API_HETMG	Sea anemone type 3 (BDS) potassium channel toxin family
C0HM42	NA3_CONGI	Sea anemone type 3 (BDS) potassium channel toxin family
E3P6S4	NAU1A_EXADI	Sea anemone sodium channel inhibitory toxin family
O16846	1AK_HETMG	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
P01534	4AD_HETMG	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P0C1F4	NA12_BUNGR	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C280	NA1A_CONGI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C5G6	NA2H_HALCG	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P0C7W7	TX9A_STIHA	Sea anemone structural class 9a family
P0CH45	NA291_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P0CH46	NA239_NEMVE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P0DL50	NA122_ANEVI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DL51	NA123_ANEVI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DM22	KPHAB_ACTTE	Sea anemonne PHAB family
P0DMJ5	VKT2E_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DMX9	BDS5_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DN15	VKTB_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DRC2	AITX3_METSE	
P0DUW8	ACTPA_ACTFR	Actinoporin family, Sea anemone subfamily
P0DUW9	ACTPD_ACTFR	Actinoporin family, Sea anemone subfamily
P10454	NA12_ANTFU	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P19651	NA21_STIHL	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P31713	VKT1_STIHL	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P61541	BDS1_ANTEL	Sea anemone type 3 (BDS) potassium channel toxin family
P69928	NA13_ANTMC	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P69930	BDS2A_ANTMC	Sea anemone type 3 (BDS) potassium channel toxin family
P86459	NA1D_BUNCN	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P86862	VKT1_ANTEL	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
Q0EAE5	K1A_ANEER	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
Q0MWV8	AURE_AURAU	Sea anemone type 1 potassium channel toxin family
Q3C256	ACR2_ACTEQ	
Q3C258	ACR1_ACTEQ	Acrorhagin I family
Q76CA1	GIG1_STIGI	EGF domain peptide family
Q7M425	NA13_BUNCI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
T2M873	T2M873_HYDVU	
A0A060VD85	A0A060VD85_9CNID	Heme-copper respiratory oxidase family
A0A0U1VCA9	A0A0U1VCA9_9CNID	Heme-copper respiratory oxidase family
A0A0U1Y795	A0A0U1Y795_9CNID	Heme-copper respiratory oxidase family
A0A0U1Y797	A0A0U1Y797_9CNID	Heme-copper respiratory oxidase family
A0A0U1Y7H5	A0A0U1Y7H5_9CNID	Heme-copper respiratory oxidase family
A0A0U1Y7H6	A0A0U1Y7H6_9CNID	Heme-copper respiratory oxidase family
A0A0X1KGZ5	IAA1_STIHL	Sea anemone alpha-amylase inhibitor family
A0A182AVW7	A0A182AVW7_EXADI	Heme-copper respiratory oxidase family
A0A1R3S3A8	TX91O_METSE	Sea anemone structural class 9a family
A0A248SNN7	A0A248SNN7_9CNID	Heme-copper respiratory oxidase family
A0A330KUG5	K1B2_OULSP	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
A0A330KW27	K1B1_OULSP	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
A0A3G2FQK2	3DPD_HETMG	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
A0A3M6U085	A0A3M6U085_POCDA	Cytochrome P450 family
A0A3S7PRR1	A0A3S7PRR1_9CNID	Heme-copper respiratory oxidase family
A0A4Y5RBW5	A0A4Y5RBW5_9CNID	Heme-copper respiratory oxidase family
A0A5J6S4Q4	A0A5J6S4Q4_9CNID	Heme-copper respiratory oxidase family
A0A6B2GFY9	A0A6B2GFY9_MYXSQ	DNA polymerase type-B family
A0A6B7FA07	VKT2J_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
A0A6B7FBD3	VKT2I_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
A0A6B7FEJ3	VKT2K_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
A0A6B9DC60	A0A6B9DC60_DESDI	Heme-copper respiratory oxidase family
A0A6M3ARL6	A0A6M3ARL6_9CNID	Heme-copper respiratory oxidase family
A0A6M3TY43	A0A6M3TY43_9CNID	Heme-copper respiratory oxidase family
A0A6P8IZ80	A0A6P8IZ80_ACTTE	ENY2 family
A0A7D5F986	A0A7D5F986_9CNID	Heme-copper respiratory oxidase family
A0A7D5F9A6	A0A7D5F9A6_9CNID	Heme-copper respiratory oxidase family
A0A7D5FAW9	A0A7D5FAW9_9CNID	Heme-copper respiratory oxidase family
A0A7D5FEY0	A0A7D5FEY0_9CNID	Heme-copper respiratory oxidase family
A0A7D5FG41	A0A7D5FG41_9CNID	Heme-copper respiratory oxidase family
A0A7D5J520	A0A7D5J520_9CNID	Heme-copper respiratory oxidase family
A0A7D5J7Y4	A0A7D5J7Y4_9CNID	Heme-copper respiratory oxidase family
A0A7D5J8K4	A0A7D5J8K4_9CNID	Heme-copper respiratory oxidase family
A0A7D5JCA5	A0A7D5JCA5_9CNID	Heme-copper respiratory oxidase family
A0A7D5JCC4	A0A7D5JCC4_9CNID	Heme-copper respiratory oxidase family
A0A7D5JUC4	A0A7D5JUC4_9CNID	Heme-copper respiratory oxidase family
A0A7D5JY66	A0A7D5JY66_9CNID	Heme-copper respiratory oxidase family
A0A7D5KHE8	A0A7D5KHE8_9CNID	Heme-copper respiratory oxidase family
A0A7D5KHF8	A0A7D5KHF8_9CNID	Heme-copper respiratory oxidase family
A0A7G3V9B0	A0A7G3V9B0_9CNID	Heme-copper respiratory oxidase family
